,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,2312.0,2727.0,3911.0,820.0,4059.0,1818.0,2253.0,1693.0,1828.0,764.0,3964.0,701.0,1828.0,3972.0,754.0,1692.0,3.0,701.0,745.0,1657.0,593.0,1578.0,650.0,3722.0,5.0,634.0,1665.0,2291.0,543.0,1579.0,593.0,3.0,1642.0
Seg_Pct,1.0,0.2583240223463687,0.3046927374301676,0.4369832402234637,0.09162011173184358,0.4535195530726257,0.20312849162011173,0.251731843575419,0.18916201117318435,0.20424581005586592,0.08536312849162012,0.4429050279329609,0.07832402234636872,0.20424581005586592,0.44379888268156426,0.08424581005586593,0.18905027932960894,0.000335195530726257,0.07832402234636872,0.08324022346368715,0.18513966480446928,0.06625698324022346,0.17631284916201118,0.07262569832402235,0.4158659217877095,0.0005586592178770949,0.07083798882681565,0.18603351955307262,0.25597765363128494,0.060670391061452514,0.17642458100558658,0.06625698324022346,0.000335195530726257,0.183463687150838
BALANCE_FREQUENCY,0.8780833200000001,0.8924274031141869,0.7899766508984244,0.9310373896701588,0.9796098268292677,0.8710562426706068,0.8323198234323437,0.8907194531735464,0.8225550419373896,0.8730321033916848,0.9795418285340308,0.8683474614026218,0.9698402981455053,0.8730321033916848,0.868420940080562,0.9819682320954901,0.8224501690307332,0.5757576666666667,0.9698402981455053,0.9831943691275162,0.8895344586602294,0.7855780202360878,0.8292750095057035,0.9746509169230757,0.8711554228909166,0.4,0.9750149195583583,0.7853344552552528,0.9437708742907016,0.9863348121546959,0.8293831317289426,0.7841024721753795,0.5757576666666667,0.888580698538368
PURCHASES,936.2292368715085,62.93535467128028,588.8733590025657,1694.6784658655042,4562.753000000001,818.1177358955408,665.2226347634759,47.793861517976055,682.7941405788537,0.6656181619256019,4650.231465968589,816.3091246215942,618.314165477889,0.6656181619256019,819.9412437059415,4700.6528912466865,677.891956264775,0.0,613.3278601997149,4727.084711409399,0.707773083886542,430.2842495784147,673.516622306718,620.2912923076924,842.0720392262223,210.304,608.4042586750792,540.1418858858863,1226.0918463553012,5454.923941068147,677.4057631412292,427.5941146711634,0.0,0.0
ONEOFF_PURCHASES,536.4937740782124,39.47459697231835,519.5012395306187,842.156514855535,2714.5795019512198,322.4802808573536,663.6930233223319,26.685623612960505,679.7799968103955,0.0,2760.998998952877,320.128208879919,388.531081597717,0.0,321.1634063444107,2801.7368214854077,676.2279174940893,0.0,384.1241486447927,2816.632340134225,0.04197344598672299,256.09205733558156,671.7323678073517,386.0507203076918,333.05674368619,146.44,379.4657858044159,268.8327627627628,471.1266739415099,3345.7662710865543,675.5437457884742,254.03971332209085,0.0,0.0
INSTALLMENTS_PURCHASES,384.4983681564246,22.471401384083062,63.33671067106712,822.4462554333918,1683.7421499999996,495.92708105444586,0.0,21.137953839325355,0.0,0.7022428884026259,1718.7374901832463,496.4774828456095,226.56848858773176,0.7022428884026259,499.0738071500493,1723.126210212202,0.0,0.0,225.9891162624821,1732.538875838927,0.7062039831019916,174.69809443507586,0.0,230.7737546153846,509.2505432563124,63.864,225.3841648264983,271.94785585585555,754.5494209951969,1866.8198360957633,0.0,174.0603035413153,0.0,0.0
CASH_ADVANCE,935.9209721677095,2158.351540732175,554.888176542062,478.95778095065293,820.7686177904874,378.8825357267805,781.3693373063816,2106.1024263536597,554.054284116716,1641.7852218387306,552.1179429109949,301.0008467998991,4026.119753596869,1641.7852218387306,300.063868880866,545.5001830108753,554.0882869081561,6506.992180600001,4015.84897604052,533.6211897344966,1601.4523004977643,1177.997231475885,550.677752554246,4091.031306447084,289.6066376216547,4146.069281960001,4131.007361327767,309.1471948321921,322.7034566377126,556.3650298917124,550.32900160266,1171.5613625618882,6506.992180600001,1594.4322569816054
PURCHASES_FREQUENCY,0.49035054837988823,0.04616906574394463,0.31633077154382344,0.8742675822040392,0.955879235365853,0.7257638211382114,0.3146129526952698,0.03860396671105195,0.31758889958653197,0.0012130908096280087,0.9605667447643969,0.7218168120585265,0.36175040656205454,0.0012130908096280087,0.7223036696878146,0.9637462334217495,0.31762884574468,0.0,0.36139377318117016,0.9638675530201329,0.0011658521424260716,0.4397032816188869,0.31842561977186135,0.3524538061538463,0.7187828092423426,0.2,0.34912456466876984,0.442701786186186,0.9362396486250535,0.9597540939226524,0.3188572691576929,0.43897721922428323,0.0,0.00020300426309378806
ONEOFF_PURCHASES_FREQUENCY,0.202457683575419,0.02170705579584777,0.23419612064539921,0.28717891434415854,0.6483818195121953,0.16569927568366677,0.3143837623762377,0.016067525965379498,0.3173920100413458,0.0,0.6525710615183247,0.16308839101917316,0.184885766048502,0.0,0.16368018277945687,0.6573726618037135,0.31743183983451445,0.0,0.1841724992867331,0.6579315288590605,5.029149064574532e-05,0.12739566779089379,0.3182143814955622,0.17951429076923064,0.16853799005910852,0.0166666,0.17878699684542576,0.12338790210210245,0.23093129855958083,0.7114694751381216,0.31864616466117607,0.12592011973018555,0.0,0.0
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642458,0.026742664359861598,0.07821768243491022,0.76363731705446,0.8259416195121952,0.6231620615915245,0.0,0.02442399955614737,0.0,0.0009788391684901535,0.8322674829842933,0.6206614878910188,0.23362395720399431,0.0009788391684901535,0.6211127175226583,0.8344537334217504,0.0,0.0,0.2335050784593438,0.8344672684563758,0.0009601116475558241,0.29864289376054,0.0,0.2309135461538462,0.6207028871574408,0.2,0.22740873501577288,0.32533624624624624,0.8540151990397189,0.814328515653776,0.0,0.2981276239460374,0.0,0.00020300426309378806
